field1,field2,field3,field4,field5,refkey1,refkey2
society,man,386.24,fall,4.3,young,real
culture,ready,880.39,increase,3.107,turn,visit
natural,center,368.03,through,9.353,community,either
design,into,531.47,need,9.149,necessary,foreign
production,outside,428.52,how,3.055,wall,station
economy,know,245.51,officer,5.882,teach,worry
prove,various,91.86,training,5.713,among,best
economy,leave,189.0,our,7.597,despite,simply
set,live,654.09,under,4.45,character,course
increase,middle,418.07,office,6.732,phone,he
bag,news,51.99,wide,7.488,relate,ready
realize,could,989.75,concern,8.741,capital,floor
local,away,661.69,firm,2.036,threat,ten
scientist,local,859.27,current,9.485,technology,entire
film,gas,166.13,candidate,2.542,majority,window
guess,southern,696.37,end,6.918,including,themselves
people,floor,846.71,forward,9.959,consumer,song
owner,civil,968.31,light,8.834,instead,rule
science,admit,909.13,matter,5.951,sometimes,mission
pull,goal,982.45,present,6.218,continue,recognize
certainly,anything,512.96,summer,1.458,service,box
wind,red,10.4,pressure,8.339,enter,guy
side,prevent,56.32,candidate,7.909,first,real
mention,possible,169.93,yeah,6.556,ago,imagine
may,adult,62.97,third,9.159,cost,relationship
and,through,967.45,store,1.755,large,career
member,easy,854.97,summer,8.382,energy,seem
financial,drive,781.45,accept,7.844,across,upon
nation,involve,36.1,south,7.76,hold,music
yourself,social,724.57,ahead,8.687,thousand,sometimes
pass,wall,927.68,make,4.308,us,appear
agree,strategy,580.64,identify,2.649,hour,trouble
gun,character,617.11,put,2.982,interview,still
owner,city,121.1,laugh,7.758,safe,color
need,watch,882.72,difference,0.434,age,report
other,left,195.08,red,8.754,lot,mean
them,detail,76.55,great,0.57,material,develop
force,want,768.64,skin,4.225,actually,feel
which,house,66.13,evidence,4.132,usually,executive
gun,always,358.69,example,9.333,toward,drive
well,animal,108.22,check,1.009,car,event
heavy,table,383.59,like,6.594,amount,letter
determine,near,488.87,rock,2.923,player,woman
surface,eye,850.75,physical,3.783,discover,born
threat,live,544.92,school,8.217,whom,despite
discuss,school,564.8,mean,7.928,company,class
well,job,384.56,involve,3.751,several,physical
author,walk,269.01,population,9.839,employee,outside
shake,couple,820.09,assume,7.517,husband,guy
play,whom,888.42,seek,2.73,suggest,citizen
card,father,7.01,analysis,0.55,add,police
matter,a,493.94,black,0.288,space,pick
field,too,844.45,together,7.088,look,form
agent,child,67.63,treatment,6.247,strong,save
property,learn,173.24,toward,2.046,fight,necessary
part,me,489.36,live,6.295,receive,read
policy,music,669.12,military,3.431,book,value
dinner,themselves,635.88,class,4.433,low,training
body,building,363.29,any,4.106,help,huge
threat,I,429.5,staff,5.772,even,wear
success,ball,737.43,often,6.924,decide,number
day,commercial,577.38,final,0.101,tell,list
around,imagine,362.07,go,5.032,hair,after
may,example,821.35,race,0.425,author,most
memory,itself,210.76,administration,6.0,against,job
activity,program,198.61,entire,8.507,tough,while
bar,state,184.83,through,7.193,process,notice
check,hit,17.32,civil,8.96,money,analysis
beyond,purpose,165.39,specific,7.79,should,house
deal,eat,242.41,institution,4.558,mean,mind
eight,character,231.82,piece,2.965,add,off
soldier,treat,603.67,task,7.048,policy,seat
fight,price,680.28,morning,9.366,his,little
management,mouth,214.68,lead,6.028,office,attack
contain,hard,257.95,ball,4.138,customer,face
on,walk,434.25,professor,2.225,within,expert
spend,research,622.16,through,9.289,heart,drop
property,hair,765.98,believe,6.526,thought,general
smile,strong,205.15,dream,3.28,stuff,grow
third,require,563.66,ask,6.913,gas,hit
when,recently,276.54,they,3.932,agreement,time
consumer,seven,29.58,agreement,5.604,wear,right
foreign,age,505.78,sit,0.545,popular,way
together,message,951.51,possible,9.814,apply,recognize
Mrs,space,464.84,involve,8.904,suddenly,change
build,could,840.18,traditional,8.687,water,receive
partner,time,571.9,possible,7.438,deal,understand
if,spring,242.05,generation,8.651,quality,against
open,sister,514.13,card,5.083,doctor,across
test,price,115.73,process,2.272,least,loss
floor,yes,624.06,change,3.755,value,whatever
government,husband,476.02,really,9.786,really,choice
as,fact,757.58,son,2.304,full,article
project,put,538.14,rate,4.44,others,toward
raise,level,926.55,would,1.678,improve,protect
democratic,event,634.78,minute,4.336,use,actually
move,first,250.01,either,6.73,only,which
employee,last,120.77,increase,6.997,against,space
ten,relationship,817.32,hit,5.822,start,deep
organization,necessary,167.74,fast,9.404,same,positive
big,church,852.99,drop,6.972,page,have
prepare,glass,918.06,total,3.931,fight,mouth
of,various,324.35,top,2.337,west,reality
charge,food,18.39,country,6.084,stand,Mr
whatever,growth,899.4,heart,9.305,industry,same
store,service,425.23,whole,1.736,job,action
house,hospital,227.97,fish,9.603,force,remain
military,continue,43.24,executive,4.469,moment,machine
summer,option,416.4,million,7.021,almost,partner
song,season,559.21,national,7.798,bill,its
necessary,toward,642.17,size,8.058,clearly,care
hotel,bag,638.4,read,6.897,image,measure
author,imagine,133.08,partner,3.381,media,line
together,never,804.0,put,4.577,them,song
upon,letter,484.61,medical,7.942,learn,home
make,finish,486.01,road,9.03,car,drug
whose,give,5.84,between,6.075,I,opportunity
pick,miss,546.84,north,4.939,see,month
newspaper,only,596.78,number,3.113,fill,during
forward,open,891.3,want,3.925,start,defense
impact,possible,515.75,end,6.439,and,culture
industry,evening,303.83,best,9.888,perhaps,avoid
piece,early,192.83,say,9.357,left,meet
seek,already,26.58,develop,8.473,sing,according
type,yard,624.51,list,0.641,decide,camera
fine,all,861.19,name,5.416,tree,across
traditional,citizen,391.06,group,7.694,past,southern
stay,need,34.13,idea,8.666,bank,side
head,half,834.45,rise,9.517,bit,daughter
story,way,593.16,feel,9.37,bit,during
Mrs,president,283.15,generation,6.915,it,interest
model,election,222.29,next,6.196,consumer,become
garden,father,620.85,throughout,7.557,shoulder,up
black,whom,100.05,occur,0.62,situation,art
various,for,558.04,ahead,7.88,close,area
approach,government,208.04,less,7.553,letter,light
pattern,certainly,150.78,hit,6.612,we,cut
weight,democratic,8.3,seem,3.253,want,language
serious,tough,423.98,whether,6.846,interview,matter
church,meeting,162.62,enjoy,4.576,second,material
base,last,155.34,rock,6.958,pick,garden
just,whom,590.64,focus,1.935,professional,large
mention,long,61.56,somebody,0.869,house,eat
democratic,claim,740.73,many,0.996,we,which
lose,suffer,55.32,end,0.964,art,soldier
sort,cultural,728.15,story,1.655,lot,way
major,exactly,643.27,clear,6.473,board,bill
probably,nice,432.49,sense,1.514,effort,my
find,begin,738.6,possible,7.47,customer,mean
sometimes,work,567.67,travel,8.118,despite,class
structure,quickly,321.0,job,4.5,back,energy
question,lay,958.84,reduce,0.225,knowledge,run
or,piece,329.97,animal,2.817,service,power
majority,ok,970.37,before,6.501,reduce,type
data,true,43.19,amount,7.859,out,consumer
character,else,791.85,available,1.007,piece,move
floor,if,367.29,sister,2.858,choice,various
expert,list,413.54,people,8.743,mention,story
character,tax,104.87,respond,9.637,measure,whom
teacher,study,7.0,suffer,7.589,prepare,real
thank,official,78.78,reflect,0.902,few,police
whole,chair,570.19,anyone,5.401,kitchen,view
full,involve,514.93,edge,0.444,population,his
condition,bad,645.56,future,3.982,chair,operation
thought,tough,806.74,school,1.686,seek,budget
same,color,659.68,your,9.581,able,policy
country,stock,579.35,game,8.797,why,feel
would,live,32.12,tend,4.524,attorney,certainly
later,method,578.55,water,4.411,yourself,keep
article,voice,83.15,adult,6.241,decide,something
prove,movie,518.75,light,8.488,seat,almost
budget,college,597.39,start,3.881,peace,stop
bring,where,448.99,attack,4.182,mean,shoulder
song,hotel,255.09,executive,6.731,according,who
body,purpose,322.02,enjoy,8.237,almost,anyone
beautiful,base,115.49,customer,2.683,message,more
room,figure,615.33,south,4.478,pay,door
region,even,307.3,check,1.308,deep,a
sure,imagine,150.88,yourself,0.413,research,real
road,room,706.46,visit,4.817,space,run
prove,friend,693.89,economy,9.233,computer,build
and,girl,69.71,spend,0.446,special,forward
none,defense,337.58,property,7.909,attention,teacher
on,no,798.98,tree,6.046,product,current
work,ago,683.53,type,0.473,stock,live
leg,specific,418.75,language,5.703,doctor,either
respond,third,371.44,remember,5.844,once,model
shake,else,506.63,work,6.344,laugh,chance
product,outside,164.64,recently,5.689,individual,if
school,seem,175.64,wind,0.817,evidence,space
focus,likely,76.45,training,6.488,teacher,voice
citizen,new,43.62,option,5.182,may,prove
rate,at,735.61,sign,9.332,relationship,fall
nothing,five,840.58,different,3.01,draw,human
floor,lead,25.41,job,2.705,wide,thought
ready,away,304.9,create,9.038,let,several
trade,example,607.95,police,0.937,tend,usually
after,care,95.32,result,5.542,box,near
project,tend,310.05,our,7.586,interview,home
you,cell,763.62,of,1.843,east,various
most,former,367.58,shake,0.668,could,soon
side,crime,317.56,sell,6.987,strategy,reduce
situation,office,257.45,growth,2.092,home,help
best,art,850.24,crime,8.714,mother,thus
science,effect,618.24,investment,4.395,prevent,body
record,to,635.75,understand,7.126,machine,figure
or,worker,629.74,say,6.044,material,source
east,action,379.95,test,2.692,minute,never
special,song,491.63,truth,9.322,security,machine
last,certainly,191.85,Republican,4.422,bag,agent
avoid,fund,426.8,change,6.457,price,look
upon,physical,30.89,prepare,6.803,bar,use
offer,economic,795.39,its,8.742,church,again
story,structure,1.41,ground,0.294,else,market
become,avoid,85.25,billion,8.197,total,ok
wind,understand,162.06,role,7.311,product,all
family,add,148.79,soldier,6.055,develop,clear
heavy,camera,841.63,few,1.655,I,board
computer,thing,467.71,trial,7.036,free,last
garden,author,476.28,eight,3.903,Mrs,sport
medical,will,989.73,score,4.64,color,finally
create,wall,251.15,military,4.018,read,drive
catch,daughter,550.88,time,5.907,each,open
want,few,837.53,forward,9.372,structure,contain
information,moment,471.34,position,2.79,attention,different
control,western,262.1,race,2.706,value,become
fact,seem,13.67,name,2.29,add,decade
mind,question,177.82,another,8.248,rest,personal
father,section,132.19,after,2.017,better,spring
world,star,133.39,may,4.375,agency,mention
pay,guy,514.42,compare,2.223,we,matter
partner,get,380.46,soon,5.405,light,more
degree,toward,411.7,good,5.868,organization,point
game,approach,198.39,include,3.328,production,also
perform,lawyer,471.85,sound,6.572,fish,song
record,real,525.83,woman,5.69,good,every
particular,control,412.72,can,4.517,song,local
enjoy,new,898.94,enough,7.572,wonder,capital
six,watch,885.86,your,2.359,century,minute
you,put,14.82,hour,2.415,newspaper,include
memory,develop,528.06,natural,4.139,yourself,themselves
single,technology,146.74,power,2.784,writer,send
your,your,215.6,around,7.982,study,trade
treatment,there,243.33,board,9.942,have,space
people,case,443.3,its,6.381,but,couple
still,might,140.28,drop,3.687,by,pick
bag,figure,977.38,however,5.505,so,how
firm,material,847.85,worker,9.465,wide,friend
any,recently,209.25,son,5.875,hear,never
each,far,391.11,have,6.499,great,policy
minute,happy,896.15,statement,8.204,radio,challenge
general,them,783.1,future,7.772,summer,data
campaign,would,603.29,it,1.615,movement,thousand
same,film,428.36,data,2.614,voice,approach
employee,arm,657.31,air,0.365,few,young
event,pattern,635.17,morning,8.904,state,consider
heart,tend,34.45,argue,1.578,which,stop
local,lose,554.79,pattern,1.868,throw,again
understand,why,653.33,price,0.199,traditional,imagine
figure,evidence,588.27,social,5.326,strategy,coach
former,maintain,850.75,specific,9.295,certainly,music
discussion,participant,517.81,bring,5.558,benefit,particular
continue,choice,447.37,real,5.671,your,provide
occur,him,691.6,look,7.574,believe,you
practice,say,875.45,new,1.048,worker,successful
daughter,along,440.33,protect,3.74,agency,environment
night,at,731.95,side,2.294,professor,build
itself,large,330.15,head,2.61,cold,total
game,series,145.64,perhaps,3.963,beyond,long
figure,right,669.13,less,1.631,safe,at
respond,beautiful,547.75,home,5.822,food,Mr
opportunity,leave,176.08,force,3.665,practice,suffer
produce,maybe,424.8,team,2.404,according,apply
security,fly,259.74,such,1.123,miss,free
boy,TV,408.58,war,1.883,technology,certainly
unit,its,419.91,discuss,2.764,film,several
continue,dinner,848.86,push,4.836,officer,contain
wife,yard,216.28,lay,1.511,develop,detail
probably,wall,433.09,camera,6.162,summer,cost
also,early,283.48,over,1.624,outside,energy
pattern,continue,422.84,yourself,3.795,sign,future
television,short,651.18,game,3.914,time,physical
service,sell,395.32,stop,8.187,whose,series
stay,star,951.56,short,7.03,service,gun
instead,art,527.21,life,3.46,like,worker
account,office,185.59,everybody,1.891,reveal,common
many,woman,453.54,behavior,3.929,teach,up
feeling,middle,910.63,nature,5.344,address,thousand
former,allow,410.48,training,8.777,president,strategy
herself,do,498.74,seem,7.99,personal,want
old,heart,355.0,among,5.514,green,especially
hand,establish,838.95,possible,3.451,toward,full
lawyer,father,82.4,thousand,0.481,picture,top
boy,soon,674.76,include,0.121,high,cold
policy,major,715.0,guy,5.466,nice,shoulder
piece,red,841.67,huge,2.174,sister,type
when,great,780.43,wall,6.556,card,dinner
probably,enough,987.9,none,4.089,pull,as
center,chance,119.84,various,4.373,ever,toward
writer,various,47.42,Democrat,3.35,last,painting
management,course,470.79,truth,3.087,movement,both
accept,mother,118.8,important,5.321,different,hope
PM,feel,795.62,past,0.35,society,face
size,specific,450.17,item,6.473,property,lay
realize,involve,428.68,too,3.495,yourself,east
town,evening,373.74,at,4.406,reason,represent
level,will,52.78,pull,9.369,wind,partner
ball,right,622.74,speech,2.374,sense,response
enough,be,586.68,throw,1.439,listen,item
position,feel,233.34,figure,5.436,star,study
guy,individual,526.5,listen,1.261,official,real
she,edge,165.68,loss,5.664,include,rest
plan,task,793.65,figure,6.844,allow,art
